domain,label
mail.printakid.com/www.online.americanexpress.com/index.html,Fake
myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php,Fake
super1000.info/docs,Fake
perfectsolutionofall.net/wp-content/themes/twentyten/wiresource/,Fake
lingshc.com/old_aol.1.3/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1,Fake
asladconcentration.com/paplkuk1/webscrcmd=_home-customer&nav=1/,Fake
www.regaranch.info/grafika/file/2012/atualizacao/www.itau.com.br/,Fake
mercadolivre.com.br.premiosfidelidade2012.com.br/confirmar/,Fake
www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code17/security/,Fake
jameshowardmusic.com/wp-content/themes/widescreen/includes/cache/bbnew/bb.php,Fake
myxxxcollection.com/v1/js/555klisdr/bpd.com.do/do/l.popular.php,Fake
ebayisapidlld.altervista.org/,Fake
sontemeda.altervista.org/paypinoko/paypinoko/procesing.php,Fake
docs.google.com/a/unmsm.edu.pe/spreadsheet/viewform?formkey=dEZoOXQwTzFkaUJCRTdhVlA3cTAyV1E6MQ,Fake
remax.com.behinehsazerooyesh.com/remax/index.htm,Fake
www.procedimentotamfidelidade.com/regulamento/new/processo/atualiza/sacfidelidade/id=1714/,Fake
tinyurl.com/bswqloj,Fake
users11.jabry.com/blopp/Aolupdate.htm,Fake
tad.ly/BUpQLx,Fake
professionalcrapsplayer.com/upgrade/logins/Trulia/index.htm,Fake
cardpromocion2012.com.br/vaidevisa/asp/conta/participe/autentica/autentica.php,Fake
portalsalinas.com.br/modules/mod_acepolls/spam.php,Fake
trigononline.com/Support.php,Fake
docs.google.com/spreadsheet/viewform?formkey=dG9xR28xLUp1R2JPbmpRYjFGc2lmanc6MQ,Fake
users11.jabry.com/reaseo/Aolupdate.htm,Fake
tinyurl.com/c5br4qc,Fake
www.russel.sk/menuonlineprivado/,Fake
maryhoffmann.com/hsbc/hsbc.MyHSBC_pib.htm,Fake
extraordinarybirds.com/vb/Trulia/index.htm,Fake
apajufe.com.br/www.cielo.com.br/index.php,Fake
www.gestion-des-impayes.com/visuel.php?param=iK1/I3EkRQjb1KxExSxoEkRQjb1KwEibjkbvI/EkRQjb1KxESFFSEkRQjb1KwEiQI3bi3EkRQjb1KxErSCorxCrEkRQjb1KwE3sk/lPbY/EkRQjb1KxExEkRQjb1KwE1glibjkb,Fake
melodylove.ru/images/stories/style/s/,Fake
mindfulsolutionsinc.com/red/lov.html.draft,Fake
account.craigjsilist.org/blog/login/index.php,Fake
thaiyogajourney.com/plugins/content/backup/lloydstsb.co.uk/login.jsp.htm,Fake
click2.cardmemberservices.com/963227831.16589.723931113775.130,Fake
www.wallhome.com/M5.php,Fake
simplyshmellies.com/magento/shell/act.php,Fake
www.sexymalaysia.com/assets/bbva/compass.htm,Fake
www.vanessajanemaldonado.com//wp-content/wp.secure.php,Fake
'www.gestion-des-impayes.com/visuel.php?param=iK1/I3EkRQjb1KxExSxoEkRQjb1KwEibjkbvI/EkRQjb1KxESFFSEkRQjb1KwEiQI3bi3EkRQjb1KxErSCorxCrEkRQjb1KwE3sk/lPbY/EkRQjb1KxExEkRQjb1KwE1glibjkb vI/EkRQjb1KxESFFS',Fake
www.sisimtel.com.mx/ecommerce/images/.../freebank/myposte/index.html?MfcISAPICommand=SignInFPP&UsingSSL=1&email=&userid=,Fake
numberoneclubbombastic.com/wp-includes/js/actualizare.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f84f1036d8f209d3d19ebb6f4eeec8bd0e2664736d79a9e4e99b7f2380234457562664736d79a9e4e99b7f238023445756,Fake
ntcrulz.5gbfree.com/fb/,Fake
steamcommunity-giveaway.my3gb.com,Fake
steamglfts.hut2.ru/,Fake
vk-krasota.hut2.ru,Fake
mmilogistics.net/preview/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run,Fake
sysgo.com.ve/shop/modules/sendtoafriend/smg/index.html,Fake
wlservices.fr/css/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f84f1036d8f209d3d19ebb6f4eeec8bd0e58f68c371b0c6dfb0c971e2b6492d5d658f68c371b0c6dfb0c971e2b6492d5d6,Fake
www.udc.an/wp-includes/js/tinymce/themes/advanced/img/link.htm,Fake
paypal.com.us.cgi.bin.webscr.cmd.login.submit.bx3digitallp.com/Review/56a56d0c72ca057b293ee8964b9d13be/,Fake
bridge-afrik.com/soc/userinfo/,Fake
www.vis-ph.com/wp-admin/maint/index.html?section=signinpage&amp;=&amp;cookiecheck=yes&amp;=nba/signin,Fake
tom-burns.com/absa_better_returng/index.php,Fake
paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com/,Fake
www.emotionalvirtue.com/paypal.com.login-submit.dispatch.588235d80a13c0db1f8e263663d3faee8d43b1bb6ca6e/secure-code203/security/,Fake
www.emotionalvirtue.com/paypal.com.login-submit.dispatch.588235d80a13c0db1f8e263663d3faee8d43b1bb6ca6e/,Fake
jennys.com.bd/Information/login.php,Fake
www.paypai.com-service.confirm.cgi-bin.w2bscr-cmd.login.submit.new-load.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f.agled.com.ar/paypai-login/service/Limit15/,Fake
www.paypai.com-service.confirm.cgi-bin.w2bscr-cmd.login.submit.new-load.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f.agled.com.ar/paypai-login/service/Restart.php,Fake
www.remisereduc.com/test/ssi/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f84f1036d8f209d3d19ebb6f4eeec8bd0e0ec384b985d8255691b6e0e8c08646a70ec384b985d8255691b6e0e8c08646a7,Fake
paypal.com.cgi-bin.login1589114111g859f.sonreir.cl/paypal/2/26331542f170e682e1bbdc535bedbb6b/webscr.html?cmd=5885d80a13c0db1f22d2300ef60a67593b79a4d03747447e6b625328d36121a16e133dc34bbf944d0054e13621ea39f76e133dc34bbf944d0054e13621ea39f7,Fake
www.danatranslation.com/modules/pp/secure-code4/security/login.php,Fake
hjftgggtjtttttuyrjtjt6ju6u6u6yu6.4ove.com/,Fake
eurovis.altervista.org/login,Fake
www.egitimogretimci.com/wp-admin/images/screenshots/index.htm,Fake
ecatreviews.com//wp-includes/images/boomzz.html,Fake
randexpr.com/css/123659854/12568954120/security/login.php,Fake
www.emotionalvirtue.com/paypal.com.login-submit.dispatch.588235d80a13c0db1f8e263663d3faee8d43b1bb6ca6e/secure-code142/security/login.php,Fake
paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com/secure-code4/security/login.php,Fake
www.paypal.com.cgi-bin.webscr.dispatch.654a651951c965198e4195132321c9849a.6516c5132132e13516c9851616e51651d32.65a1651c321321321321.056516e56516e519849a1.bigmikestyles.com/update/,Fake
www.paypal.com.cgi-bin.webscr.cmd.login-submit.dispatch.5885d80a13c0d36.63d3fae3e7f0184a.5674f290db9e9c846.mathieu-robert.com/,Fake
'nicolecustodio.com.br/paypal\%20us/webscr.htm?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcd8',Fake
up.heliohost.org/54T4N45/up/,Fake
numberoneclubbombastic.com/wp-includes/pomo/information.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f84f1036d8f209d3d19ebb6f4eeec8bd0e5c8c552a98a6876052ae4128977ce9205c8c552a98a6876052ae4128977ce920,Fake
